Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2020-12-16,CO,296716.0,111061.0,8071.0,87739.0,3857.0,1602.0,890.0,4095.0,1988.0,77413.0,87739.0,131564.0,77413.0,4156.0,2575.0,160.0,906.0,96.0,21.0,9.0,95.0,27.0,267.0,906.0,2983.0,267.0
2020-05-27,CO,24767.0,8661.0,1483.0,9032.0,661.0,116.0,99.0,170.0,225.0,4316.0,9032.0,11415.0,4316.0,1392.0,890.0,94.0,268.0,53.0,7.0,5.0,10.0,7.0,53.0,268.0,1066.0,53.0
2020-08-19,CO,53901.0,19803.0,2603.0,20692.0,1110.0,301.0,210.0,711.0,441.0,8015.0,20692.0,25179.0,8030.0,1800.0,1130.0,119.0,409.0,57.0,13.0,5.0,23.0,7.0,33.0,409.0,1354.0,33.0
2021-01-17,CO,374981.0,146468.0,10612.0,106007.0,5325.0,2175.0,1087.0,5287.0,2737.0,95283.0,106007.0,173691.0,95283.0,5379.0,3377.0,180.0,1110.0,110.0,34.0,9.0,136.0,36.0,387.0,1110.0,3882.0,387.0
2021-02-14,CO,413836.0,168928.0,11918.0,114550.0,6001.0,2442.0,1200.0,6083.0,3104.0,99610.0,114550.0,199676.0,99610.0,5824.0,3735.0,189.0,1169.0,115.0,36.0,10.0,168.0,42.0,360.0,1169.0,4295.0,360.0
2020-11-18,CO,176694.0,68080.0,5424.0,59015.0,2544.0,954.0,583.0,2703.0,1360.0,36027.0,59015.0,81648.0,36031.0,2651.0,1646.0,141.0,608.0,75.0,15.0,6.0,60.0,15.0,80.0,608.0,1958.0,85.0
2020-07-19,CO,40142.0,12367.0,1840.0,13460.0,826.0,200.0,122.0,374.0,277.0,10672.0,13460.0,16006.0,10672.0,1615.0,1005.0,108.0,353.0,53.0,9.0,5.0,20.0,6.0,52.0,353.0,1206.0,52.0
2020-06-03,CO,27060.0,9281.0,1580.0,10196.0,719.0,140.0,110.0,170.0,248.0,4611.0,10196.0,12248.0,4611.0,1494.0,935.0,102.0,292.0,53.0,8.0,5.0,10.0,8.0,76.0,292.0,1121.0,76.0
2021-01-10,CO,361148.0,136442.0,9968.0,102241.0,4875.0,1986.0,1011.0,4875.0,2600.0,97150.0,102241.0,161757.0,97150.0,5208.0,3257.0,175.0,1069.0,110.0,34.0,9.0,128.0,36.0,390.0,1069.0,3749.0,390.0
2020-08-26,CO,55993.0,20611.0,2682.0,21456.0,1136.0,313.0,223.0,750.0,459.0,8365.0,21456.0,26174.0,8363.0,1835.0,1150.0,120.0,420.0,58.0,13.0,5.0,25.0,7.0,33.0,420.0,1378.0,33.0
