Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per
2021-02-24,WA,336565.0,93664.0,10729.0,61450.0,12161.0,3136.0,3610.0,5719.0,3069.0,143027.0,61450.0,132088.0,143027.0,4912.0,3470.0,156.0,589.0,371.0,105.0,78.0,58.0,71.0,14.0,589.0,4309.0,14.0,0.2782939402492832,0.03187794333932524,0.18257988798597596,0.03613269353616686,0.009317665235541426,0.010726011320250174,0.7064332247557004,0.03175895765472313,0.11991042345276873,0.07552931596091206,0.021376221498371335,0.015879478827361564
2021-02-28,WA,339773.0,94878.0,10803.0,61827.0,12306.0,3166.0,3640.0,5760.0,3103.0,144290.0,61827.0,133656.0,144290.0,4956.0,3500.0,157.0,592.0,376.0,107.0,80.0,58.0,72.0,14.0,592.0,4350.0,14.0,0.279239374523579,0.0317947570878204,0.18196560644901155,0.03621829868765323,0.009317985831717059,0.010713034879169327,0.7062146892655368,0.03167877320419693,0.11945117029862792,0.07586763518966909,0.02158999192897498,0.016142050040355124
2021-03-03,WA,342236.0,95657.0,10859.0,62189.0,12422.0,3190.0,3657.0,5791.0,3119.0,145352.0,62189.0,134695.0,145352.0,5012.0,3548.0,160.0,595.0,379.0,107.0,80.0,59.0,72.0,12.0,595.0,4405.0,12.0,0.27950595495506025,0.031729566731728984,0.18171378814619152,0.03629659065673979,0.009321053308243434,0.010685608761205717,0.707901037509976,0.03192338387869114,0.11871508379888268,0.07561851556264965,0.0213487629688747,0.01596169193934557
2021-03-07,WA,344532.0,96572.0,10932.0,62537.0,12525.0,3231.0,3691.0,5823.0,3133.0,146088.0,62537.0,135907.0,146088.0,5041.0,3571.0,161.0,596.0,383.0,107.0,81.0,59.0,71.0,12.0,596.0,4433.0,12.0,0.28029907236483115,0.03172999895510432,0.1815128928517525,0.036353662359374456,0.009377938769112883,0.010713083254966158,0.7083911922237651,0.03193810751834954,0.11823050981948026,0.0759769886927197,0.021225947232691927,0.01606824042848641
2020-04-12,WI,3341.0,1680.0,857.0,,81.0,28.0,,,74.0,621.0,361.0,2261.0,718.0,144.0,77.0,61.0,,4.0,1.0,,0.0,0.0,1.0,4.0,138.0,2.0,0.5028434600419036,0.2565100269380425,,0.024244238252020354,0.008380724334031727,,0.5347222222222222,0.4236111111111111,,0.027777777777777776,0.006944444444444444,
2020-04-15,WI,3721.0,1881.0,916.0,,90.0,34.0,,,98.0,702.0,443.0,2490.0,788.0,182.0,104.0,71.0,,4.0,2.0,,0.0,0.0,1.0,9.0,171.0,2.0,0.5055092717011556,0.24617038430529428,,0.02418704649287826,0.009137328675087342,,0.5714285714285714,0.3901098901098901,,0.02197802197802198,0.01098901098901099,
2020-04-19,WI,4346.0,2214.0,1025.0,,116.0,37.0,,,145.0,809.0,628.0,2819.0,899.0,220.0,132.0,80.0,,5.0,2.0,,,0.0,1.0,11.0,207.0,2.0,0.5094339622641509,0.2358490566037736,,0.026691210308329497,0.008513575701794753,,0.6,0.36363636363636365,,0.022727272727272728,0.00909090909090909,
2020-04-22,WI,4845.0,2526.0,1198.0,,135.0,44.0,,,212.0,730.0,842.0,3226.0,777.0,246.0,151.0,82.0,,5.0,3.0,,,0.0,5.0,15.0,225.0,6.0,0.5213622291021672,0.24726522187822497,,0.02786377708978328,0.009081527347781218,,0.6138211382113821,0.3333333333333333,,0.02032520325203252,0.012195121951219513,
2020-04-26,WI,5911.0,3083.0,1414.0,,174.0,56.0,,,403.0,781.0,1338.0,3734.0,839.0,272.0,165.0,94.0,,5.0,3.0,,,1.0,4.0,16.0,248.0,8.0,0.5215699543224497,0.23921502283877516,,0.029436643545931316,0.009473862290644562,,0.6066176470588235,0.34558823529411764,,0.01838235294117647,0.011029411764705883,
2020-04-29,WI,6520.0,3449.0,1517.0,,205.0,61.0,,,470.0,818.0,1602.0,4047.0,871.0,308.0,187.0,101.0,,5.0,4.0,,,3.0,8.0,17.0,277.0,14.0,0.5289877300613497,0.2326687116564417,,0.03144171779141104,0.009355828220858895,,0.6071428571428571,0.32792207792207795,,0.016233766233766232,0.012987012987012988,
